City / المدينة,Region / المنطقة,Active Cases / الحالات النشطة,Total Deaths / إجمالي الوفيات,Total Recovered / إجمالي المعافين
Tounfite,Drâa-Tafilalet,0,0,0
Zaouia d'Ifrane,Fès-Meknès,0,0,0
Zaïda,Drâa-Tafilalet,0,0,0
Ahfir,l'Oriental,0,0,0
Aklim,l'Oriental,0,0,0
Al Aroui,l'Oriental,0,0,0
Aïn Bni Mathar,l'Oriental,0,0,0
Aïn Erreggada,l'Oriental,0,0,0
Ben Taïeb,l'Oriental,0,0,0
Berkane,l'Oriental,0,0,0
Bni Ansar,l'Oriental,0,0,0
Bni Chiker,l'Oriental,0,0,0
Bni Drar,l'Oriental,0,0,0
Bni Tadjite,l'Oriental,0,0,0
Bouanane,l'Oriental,0,0,0
Bouarfa,l'Oriental,0,0,0
Bouhdila,l'Oriental,0,0,0
Dar El Kebdani,l'Oriental,0,0,0
Debdou,l'Oriental,0,0,0
Douar Kannine,l'Oriental,0,0,0
Driouch,l'Oriental,0,0,0
El Aïoun Sidi Mellouk,l'Oriental,0,0,0
Farkhana,l'Oriental,0,0,0
Figuig,l'Oriental,0,0,0
Ihddaden,l'Oriental,0,0,0
Jaâdar,l'Oriental,0,0,0
Jerada,l'Oriental,0,0,0
Kariat Arekmane,l'Oriental,0,0,0
Kassita,l'Oriental,0,0,0
Kerouna,l'Oriental,0,0,0
Laâtamna,l'Oriental,0,0,0
Madagh,l'Oriental,0,0,0
Midar,l'Oriental,0,0,0
Nador,l'Oriental,1,0,0
Naima,l'Oriental,0,0,0
Oued Heimer,l'Oriental,0,0,0
Oujda,l'Oriental,2,0,0
Ras El Ma,l'Oriental,0,0,0
Saïdia,l'Oriental,0,0,0
Selouane,l'Oriental,0,0,0
Sidi Boubker,l'Oriental,0,0,0
Sidi Slimane Echcharaa,l'Oriental,0,0,0
Talsint,l'Oriental,0,0,0
Taourirt,l'Oriental,1,0,0
Tendrara,l'Oriental,0,0,0
Tiztoutine,l'Oriental,0,0,0
Touima,l'Oriental,0,0,0
Touissit,l'Oriental,0,0,0
Zaïo,l'Oriental,0,0,0
Zeghanghane,l'Oriental,0,0,0
Rabat,Rabat-Salé-Kénitra,17,0,0
Salé,Rabat-Salé-Kénitra,1,1,0
Ain El Aouda,Rabat-Salé-Kénitra,0,0,0
Harhoura,Rabat-Salé-Kénitra,0,0,0
Khémisset,Rabat-Salé-Kénitra,0,0,0
Oulmès,Rabat-Salé-Kénitra,0,0,0
Rommani,Rabat-Salé-Kénitra,0,0,0
Sidi Allal El Bahraoui,Rabat-Salé-Kénitra,0,0,0
Sidi Bouknadel,Rabat-Salé-Kénitra,0,0,0
Skhirate,Rabat-Salé-Kénitra,0,0,0
Tamesna,Rabat-Salé-Kénitra,0,0,0
Témara,Rabat-Salé-Kénitra,1,0,0
Tiddas,Rabat-Salé-Kénitra,0,0,0
Tiflet,Rabat-Salé-Kénitra,0,0,0
Touarga,Rabat-Salé-Kénitra,0,0,0
Agadir,Souss-Massa,3,0,0
Agdz,Drâa-Tafilalet,0,0,0
Agni Izimmer,Souss-Massa,0,0,0
Aït Melloul,Souss-Massa,0,0,0
Alnif,Drâa-Tafilalet,0,0,0
Anzi,Souss-Massa,0,0,0
Aoulouz,Souss-Massa,0,0,0
Aourir,Souss-Massa,0,0,0
Arazane,Souss-Massa,0,0,0
Aït Baha,Souss-Massa,0,0,0
Aït Iaâza,Souss-Massa,0,0,0
Aït Yalla,Drâa-Tafilalet,0,0,0
Ben Sergao,Souss-Massa,0,0,0
Biougra,Souss-Massa,0,0,0
Boumalne-Dadès,Drâa-Tafilalet,0,0,0
Dcheira El Jihadia,Souss-Massa,0,0,0
Drargua,Souss-Massa,0,0,0
El Guerdane,Souss-Massa,0,0,0
Harte Lyamine,Drâa-Tafilalet,0,0,0
Ida Ougnidif,Souss-Massa,0,0,0
Ifri,Drâa-Tafilalet,0,0,0
Igdamen,Souss-Massa,0,0,0
Ighil n'Oumgoun,Drâa-Tafilalet,0,0,0
Imassine,Drâa-Tafilalet,0,0,0
Inezgane,Souss-Massa,0,0,0
Irherm,Souss-Massa,0,0,0
Kelaat-M'Gouna,Drâa-Tafilalet,0,0,0
Lakhsas,Souss-Massa,0,0,0
Lakhsass,Souss-Massa,0,0,0
